Participant,Start,End,Code,Quote,,,,,,,,,,
P15,"49:53,660","51:05,900",Connecting experience to developer flow and the concept of building up context and then using it to move your development forward,"mentioned is about developer flow. That whole concept of being able to build up context and then use it to move your development forward is definitely an important aspect of this. Because if you have meetings in between, or you have people pinging you or something, or you're having to pay attention to like, answering questions on Slack from somebody else or something, you can lose it. And it's hard to build that context back up again in your head to move the work forward. - Yeah. - So I'm very cognizant of that in other people and I try to kind of respect it as much as I can. That's why like I always post in Slack first ask somebody, like, if you're in a flow, we can do this a little bit later because I'm stuck. I don't want to stop your train from going. So, try to find a time where it's better for you, which might be like right before meeting where they know that they're going to lose it anyway,",,,,,,,,,,
P15,"23:17,380","23:53,680",Constantly trying to form a plan that makes sense on how to investigate,"Just like all the possibilities that-- the things I could do. I'm thinking of like, well, maybe I should contact this group. No, I shouldn't because there's some things I want to try first. You're constantly trying to form a plan that makes sense. And usually that plan is small enough that it can fit in your head. You don't need to write it down like in this case because I've just named two or three different things I'm going to try. But I might even throw that into to-do list if it formed, if it got longer, too.",,,,,,,,,,
P15,"02:54,360","03:43,500",Ease vs difficulty of troubleshooting is all about familiarity and expertise,"- Well, it's easy if you have intimate knowledge of the code that is generating the error. if you've run up against the error several times before. It's kind of like your experience that you have makes it easy. What's hard is if you encounter a new error that you've never seen before, if it's coming from maybe a different service that you don't own, you don't know a lot about, or a different part of the code that you don't know much about. Yeah, it's all about kind of familiarity and expertise that makes things easy versus hard.",,,,,,,,,,
P15,"22:18,260","23:08,940",Getting up and walking away is a wizard move as sometimes you get so locked in to what you’re doing and need to step away,"- Oh, the usual, like, I'm never gonna figure this out, what's going on, my life is over, I'll never advance this problem, you know, all those things. And then your experience kicks in and you're like, okay, this too shall pass. Maybe you should get up and walk away from your keyboard briefly. Just think about it outside of a computer altogether. And I did, I thought of that while I was walking downstairs, like it popped into my head because sometimes you get so locked in to what you're doing. And I mean, this is a real-- this is like a wizard move, is to just step away. Go out and get some coffee. It totally helps. I've found that many times over my career.",,,,,,,,,,
P15,"16:58,660","17:21,220",Having an investigative idea pop into my head for something to check that might be causing the problem while walking down for lunch,"So this just popped into my head when I was walking down for lunch earlier today. It's like, oh, I've got to remember that. So I'm going to look into that as well. And that's something I'm going to do before I contact anybody else. I try to cross all those things off first before I ask a question that's unnecessary.",,,,,,,,,,
P15,"33:29,180","34:25,620","Highlights importance of asking questions in the open, is usually questions that you ask are questions that other people have","And usually questions that you ask are questions that other people have. So you want to keep those as public as possible. possible. So I do that. I try not to direct message, like private message anybody. I try to keep it very public. I try to give enough context on the problem. And I'll post a question to a Slack channel, and I'll provide links to any relevant stuff, whether it's like a PR or if it's a problem I'm having on a particular branch, something like that. that if it's a production problem, I will include graphs and as much data as I can about what I think is happening. Yeah, just try to give as much context so that people don't have to look that up or ask me additional questions. They can just dive right into it.",,,,,,,,,,
P15,"43:01,580","44:12,880","Individually getting stuck, where as a team troubleshooting, people know of options others didn’t even know existed, like having a trivia team at a bar","I think individually, you just get stuck sometimes individually. And different people have seen different-- like in this case, we're using this web UI for this tool inside our company. And yeah, it just-- people knew of screens or of options that others just didn't even know existed. And we'd each been exposed to this platform we were trying to use. We all had parts of knowledge about it. So coming together, we're able to put that into-- it's like having a trivia team at a bar, one person versus five people. Five people, you're going to have the sports expert. You're going to have the music expert. And that's how it is when you're coming together to debug a problem. You've got all those brains together. And it's just more impactful.",,,,,,,,,,
P15,"23:58,360","24:41,320",Key from experience: Questioning every assumption you have about how things work,"And then another thing from lots of experience, I know this, what you have to do is question every assumption that you have about how things work. That is key in finding out what the solution to a problem is. Because usually, it's something that you're assuming is working a particular way that does not is not working that way. And you'll go all the way around. You'll investigate all the way around it without zooming into that and saying, let me just verify that this is truly the case. But when you're really troubleshooting, you've got to question everything.",,,,,,,,,,
P15,"46:10,380","47:17,900","Missing the experience of a whiteboard, drawing by hand and arm, designing software in front of a white board.","And for that matter, a whiteboard. I miss that too a lot because it's not quite-- again, I have not seen a tool that-- I don't want to use a stupid mouse. I want to use something that's-- I want to draw on a board by hand and arm. Like, we're good at that. And I feel like I could-- I miss that because a lot of the designs of software that we used to do, we used to do that quite a bit. And it feels just to be kind of missing totally, except for when you go into some draw program and just do laborious kind of like, oh, OK, here's the database canister, and here's some boxes, and all that. that's just not lightweight enough. And a whiteboard is like, done. So I think we got a ways to go still on those kinds of tools.",,,,,,,,,,
P15,"31:30,820","32:18,020",Respecting my teammate’s flow and try to not just constantly ping them with questions,"But I do try to respect my teammates' flow, and try not to just constantly ping them with questions. So yeah, once I've tried enough stuff, and I've kind of time boxed it where I think that-- and if I knew also that it's something that they would just know, I'm more willing to do it, more willing to ping them in that situation because it's not going to take a lot of their mental capacity to. If it's something that I think they're probably not going to know, that's when I try to do as much as I can to ask a better question, a more informed question.",,,,,,,,,,
P15,"27:24,480","28:33,020","Troubleshooting (10 difficulty) challenges that seem indeterminate and hard to reproduce, but are very real","- Oh, okay, yeah, those are the ones that seem almost indeterminate, like they're very hard to reproduce, yet they're very real. You know, bugs that appear to be in the layers beneath you also, that you tend to think of like foundational, well-tested bedrock kind of things that have errors in them, like compiler error or something like that, or an error in a graphics driver or something that's causing crashes. Those are the tough ones, like an error in some kind of Python wrapper code that's causing a crash down in the C libraries that it marshals parameters down into. Those are the tough ones.",,,,,,,,,,
P15,"41:40,240","42:01,040","Troubleshooting with multiple people by trying different things, sharing breakthrough discoveries","So people trying different things on their computers as well, and sharing when they have some kind of breakthrough. Eventually, we were able to stumble our way through it together with people making discoveries. ",,,,,,,,,,
P15,"18:13,740","18:44,120","Trying to exhaust all the things before asking more people, because it’s usually something can figure out","I put all these things on my list to do. And then if I'm still-- if these things don't yield any answers, I will try to ratchet up and raise it up the flagpole a little more and ask more people about it. But I really try to exhaust all the things I can think about first before doing that, Because it's usually something I can figure out myself.",,,,,,,,,,
P15,"40:05,620","40:34,900","When getting help on a troubleshooting problem, the first thing you do is rubber ducking, explaining everything to whoever is helping you, and sometimes that’s all you need","The first thing is you do the rubber ducking. You explain everything to whoever's helping you. And sometimes that's all you need to do. Then you're like, oh, OK, now I see. But yeah, so that, again, helps everybody build up the context they need to be able to help with whatever problem it is.",,,,,,,,,,
P16,"16:23,200","18:17,300","Shares why feeling good while troubleshooting because team worked really hard to create a good developer experience that made it fast and easy to point environment, and in other organizations this would take all morning, but all of it took 3-4 minutes","I think it was because, and like I think about this a lot, which is why I was so attracted to this topic is because we've worked where I where I work, we worked really hard to kind of make it to have a good developer experience. And all those tools that I described, make it like, relatively fast and easy to point from environment like to point from deployment A to deployment B to be able to then get all the proper authentication to be able to, sorry, to point from okay, sorry, to point my environment from A to B, and to then be able to launch the debugger, get go through steps like getting as like security authorization tokens and all that kind of stuff so that I can then make a query through my local instance of the Apollo GraphQL server and make the query. And then to be able to quickly with a few keystrokes, you know, go command space, and then type in dyn space, and then keywords for the table name that I know, and then enter and then I have it open. I have the AWS console open to the table and I can just inject an ID and do a query and look at the result. And that I mean, that takes like, probably all that is like, three to four minutes. Yeah. So I worked, I worked long. And the reason it makes me feel good is because I've worked long enough in other organizations to know that something like that could take, take like a, like, like a whole morning. Okay. So yeah.",,,,,,,,,,
P16,"01:50,320","02:34,720",Troubleshooting ease vs difficulty depends on “having tests” and the ability to get “very fast feedback” and can run everything locally ,"In one word would be tests, having tests. Like it. Okay, so that's, yeah, I can expand on that. So tests also, the not just tests, but the ability to get very fast feedback from my tests. And That is usually facilitated by making sure I can run everything locally, to put it one way, and not depend on outside infrastructure or architecture. And then tests are kind of,",,,,,,,,,,
P19,"17:40,640","18:23,920","At pairing company, developers work in a video chat room, that is like a pairing room, that anyone can join, and ask a quick question.  It’s an opt-in structure, so that if you need to be heads down, you don’t opt in","we use a tool that is basically, everyone can be in their own, or a few people can be like in a video chat room basically, and you can join anyone's room at any time. And so it's very common to just hop into somebody else's room and be like, Can you help me with this?"" And so it's nice because it's all video like immediately, so you don't have to, and you know that they're in that room because you can see that they're there. And so it allows for just quick, like ask a quick question. Don't have to like write it down or even enunciate what your problem is. You can just share your screen and be like, ""Can you look at this? Why is this happening?"" Right. Interesting.""",,,,,,,,,,
P19,"15:27,440","16:05,660","Compounding difficulty starts off very frustrating, but almost feels better at the end, because you climbed a bigger mountain","- Those, I think they start off very frustrating, like to the point where like sometimes it's like, I need to step away from this. Like I'm getting too close to it, I'm too frustrated. You know, I'm not in a good mental state to actually keep making progress on this. And, but I think once they're solved, I feel like they're all, you almost feel better because it's like you climbed a mountain. Like it was more effort, but it also like has more reward in the, like I did some good work today kind of a thing.",,,,,,,,,,
P19,"03:57,220","04:48,440",Describes troubleshooting difficulty in terms of the constrained scope where the unexpected behavior could be coming from,"I think there's the class of issues where it's like I'm looking at like a kind of a functional thing all the inputs and all the outputs are associated. And I consider that kind of one class because it's very constrained in what you're looking for. Whereas if I'm doing like an integration test where I'm connected to a database or whatever, there could be some issues there that are a little bigger than what I'm looking at, where like configuration settings in the app and stuff like that. I think that might be another kind of class of debugging I've had to deal with. then there's the bigger one that I mentioned earlier about infrastructure development where",,,,,,,,,,
P19,"25:14,700","25:40,060","Designing video rooms specifically for pairing and something people opt into by being logged into the room, and anybody can stop in","these are rooms that are specifically made for the work that they're doing. So if they're not able to talk to people, then they usually just log out of that room. And so it's something that they've opted into to be available in these kind of pairing rooms basically. So the assumption is kind of like, you're in your own little office and anybody can stop in. And if they're busy, you just wait.",,,,,,,,,,
P19,"19:25,280","19:59,280","Identifies initial knowledge transfer as part of the challenge that comes up with collaborating, and having a hard time explaining","I think the initial knowledge transfer  I think is definitely part of it, especially if I'm having a hard time explaining what the problem is, which sometimes happens, where it's just like, it's not working. And I can't, like, it's almost like if I knew how to explain it, I could have used Google. But sometimes it's just you don't know how to explain it. It's not",,,,,,,,,,
P19,"09:04,520","09:34,940","Implementing a feature and thinking it was done, then during a shower realized, oops, something I didn’t consider, and it wasn’t quite right and needed to be fixed","- Okay, so basically I implemented this feature and it was basically, we thought it was done and everything. And then it was one of those where it's like, I was showering and I realized that it was just completely wrong. Like it was like, I debugged it in my head for some reason. And so, yeah, so basically it was like, I woke up and just thought, oh, this is implemented wrong, basically.",,,,,,,,,,
P19,"01:27,900","01:45,700",Knowing where to look when something goes bad because of all the automated testing and the surface area of failure being low,"- So from me, I think the fact that we are heavily into automated testing and the fact that we run our tests very frequently usually means the surface area of failure is pretty low. So I generally know where to look when something goes bad",,,,,,,,,,
P19,"20:55,120","22:08,800","Pair programming has been a great boon to easier collaboration because there’s at least one other person that is in the context that can help explain, correct imprecisions and mistakes in how you spoke it","I think pair programming first of all has been a great boon because you at least have one other person that has that context. So if you need to bring in a third or fourth person, it's a little easier, I think, to have somebody else in that chat room with you helping to explain in a different way, right?  Because everyone has their own kind of view on things. And so if there is something that the two of you couldn't solve, which again happened today with some of the AWS stuff, I think it's just easier to get. And it's not just having another person to explain it in their own words. sometimes you're, at least me, is imprecise when I speak. And so you don't say things that are quite accurate. They're like kind of a rounding version of it. And that can make other people helping difficult. But if you have another person there that can explain a little better or correct a mistake in how you spoke it, basically. So I think pairing is a great way to deal with with that, just having another set of eyes on it.",,,,,,,,,,
P19,"01:58,100","02:14,460",Strategy: Starting from a known good state by running tests all the time (and keeping them passing),"So I think the biggest thing is just the fact that we have tests that we run all the time that, you know, before we started developing, it starts from a known good state. So it worked at one point. And then when we make the change, it's a smaller area to look to see what's wrong.",,,,,,,,,,
P23,"22:14,620","23:22,420","Finding that the more people you get collaborating, the more that coordinating people becomes a role in itself","Okay, so probably the biggest one is there's, the more people you get in, the more that coordinating people becomes a role in itself. Two and three people, you can usually just get them working together without too much trouble. Once you start getting above that, there's a thing if somebody needs to start keeping track of who's doing what, who's trying what, are different things that are being tried gonna interfere with each other, especially in collaborating on a problem against like a production system where there's only one of the system. That thing of making sure that two people aren't doing things that are going to inadvertently interfere with each other's results, which happens a ton. And then the other thing is bringing new people onto an investigation midstream. There's this tension between giving them the information they need to come up to speed and not spending all the time that you want to spend moving forward in the investigation on bringing one more person into the fold. We've got some strategies we use to deal with that, but it's, you know, that's probably the biggest challenge is just getting all of the humans coordinated.",,,,,,,,,,
P23,"32:25,540","32:56,300",Supporting developers in being able to see what their system is doing.  Troubleshooting is often simple if you can see what’s happening.,"I'd say one of the biggest things is probably supporting developers in being able to see what their system is doing. So, you know, troubleshooting is often simple, if you can just see what's happening. And usually, you know, like, like, in that example, like, the things that we that we saw misled us. So being able to understand the context of what's happening and being able to understand what is interesting at a time is all really helpful. Then one",,,,,,,,,,
P23,"03:45,320","04:30,560",Using a “Sherlock Holmes log” as a cognitive tool that includes everything I think and why do I think it,"And one of the big cognitive tools I like to use is I use, I sort of call it my Sherlock Holmes log. It's everything that I think and why do I think it? So, 'cause usually if I start writing that down, I don't go for this in like the early phases, but when something is starting to get intractable, it's like, okay, we know it isn't correlated to this because we did this test. We know that this data isn't successful. Why do we know that? Well, because when it's loaded by this other system, it doesn't work. And often that leads me to something else, like we know this function is getting the wrong output because when it's loaded by the system over there, it doesn't work. Well, but have we looked at the output? Do we know it's wrong? Maybe the system over there is actually the thing at fault. And a lot of the time that actually helps, is writing out that sort of what I believe and why.",,,,,,,,,,
P23,"08:31,680","09:05,080",Writing an email to a hypothetical developer I’m going to ask for help,"that I forced myself not to take those shortcuts. I often write an email to a hypothetical other developer, I'm going to ask for help, even with no idea who I might ask for help, even like Like when I'm most senior, I was the most senior developer in the organization, be like, okay, if there was a more senior developer, if there was somebody who was just a super expert, what would I ask them? And I writing out that email, I rarely send those. I rarely have to. The process of writing them out to like, what is all the information I would want to give to somebody who is more of an expert than me to not be wasting their time, usually allows me to be more than an expert than me and be like, wait, no, now I see what they would have seen.",,,,,,,,,,
P25,"12:30,420","13:22,480",Clarifying the meaning of “troubleshooting” in the context of the “creation process”,"So often I'll write a bit of code and then I'll write my little bit of testing code and be like, OK, this little sub thing works and then kind of build my complication. And in that process, I will often find errors or like things that don't quite work. like, oh, that's not going to work for how I did this, I'll have to do this a different way. So there's sort of like little localized troubleshooting that is very much a part of the creation process where I'm like testing the boundaries or seeing how something should fit together and just like it's part of the building process. So troubleshooting is maybe a strong word because it's not a problem, it's just how you work, I guess, right? I don't find it to be be particularly effective to just write a bunch of code and then kind of like go through it at the end. I like to like go through it as I go",,,,,,,,,,
P25,"40:34,180","40:39,180",Connects high trust environment with blameless environment as important to team culture,"So working in a really high trust environment and working in a blameless environment,",,,,,,,,,,
P25,"30:44,740","31:02,900","Contrasting this confidence of having tools to a junior that loses confidence where they   get despairing feeling that they are stupid, and it doesn’t work because they’re dumb. ","So there's that sort of confidence instead of kind of despairing or feeling self. Like, I mean, you see juniors do this all the time where they're like, Oh, I'm stupid. Like this doesn't work 'cause I'm dumb."" And like, that's not a good head space to be in.""",,,,,,,,,,
P25,"45:56,000","46:30,060",Contrasts not maintaining health of automated tooling systems resulting in error channel in chat that everyone mutes because it’s so noisy,"So I've definitely worked at companies where there was an error channel that everyone had muted because it was noisy. And they're like, oh, you don't have to worry about that one. And if you're ever saying you don't have to worry about that, it's wrong, fix it. Like your alert or your error is poor. You want it so that every time you get an alert, it is a real actionable thing. So really like maintaining those tools and cultivating them and putting the effort into those systems to help you understand what's going on, understand the state of your system so that you can then solve the problem.",,,,,,,,,,
P25,"09:48,440","10:12,580","Explaining how a person would explain their context, and recognize the error once they say it out loud","And that's when you're like, you know, you're explaining something and you're like, so one of the foundational concepts is… oh wait, I violated that, right? Like, now that you've said it out loud, you realize that your error, because you had to simplify it, be concise and like hit the most critical components, which is really, really nice. I think that's what it is. Yeah.",,,,,,,,,,
P25,"07:34,160","08:49,380",Explaining it to the bear on the filing cabinet,"So I'm a really huge fan of most people call it the duck effect, but I've always called it the teddy bear effect, because I had a profan university who once said, you know, like, you can come ask me questions about your assignment, but you have to explain it to the bear on the filing cabinet first. And if the bear can't solve your problem, then I'll talk to you. And it was just an illustration of that action of like, if you describe your issue out loud, often it will occur to you. So I would, I mean, I would rubber duck with colleagues all the time or have them just come glance. I mean, I've had really terrible mistakes where like I couldn't figure out why a bash script was loading. And it was just because the sun was hitting my monitor in such a way that I didn't see that there was literally a typo in like the very top line to find the bash script. And it wasn't until I showed a coworker that they're like, hey, that's wrong. And I'm like, oh, like, I swear I checked that. I thought I had I thought that was right. And it's just kind of classic blindness where you just couldn't see or were not in the right headspace. So those kinds of blunders where it's like, you can't reconcile reality with the output that you're seeing in the system. Having a second person, a second set of eyes, or even just someone to listen is shockingly effective.",,,,,,,,,,
P25,"46:30,060","46:36,000","Highlights the criticalness of understanding the state of the system, in order to solve the problem, and without understanding, you are guessing.","If you don't understand the state of the system, you can't solve it. You're just kind of, yeah, guessing.",,,,,,,,,,
P25,"37:49,580","38:11,980",Identifying benefit of remote is both having access to monitors,"That can sometimes be nice. One advantage of doing it remotely is you both have access to monitors. Often when you're collaborating in person, it's leaning over the same computer, but it's really nice to be maybe working on a problem and having someone doing their own search or looking for their own posts and resources to kind of help support solving the issue.",,,,,,,,,,
P25,"36:08,380","36:21,940","Limiting wheel spinning to 30 minutes or similar limited time, then calling a buddy","- If I've been wheel spinning for like more than 30 minutes, it's time to call in a buddy. It's just amazing how someone having an experience that you didn't or a piece of knowledge or just having fresh eyes.",,,,,,,,,,
P25,"16:09,840","16:25,120",Preferring not to interact with other humans when it comes to getting help for “generic problems”,"I don't actually want to interact with another human when it comes to these things. It's like being helped in a clothing store. I hate it, don't talk to me. So, I much prefer to hit things like official documentation. I'll also dig if it's an open source product, I'll dig into the GitHub repos,",,,,,,,,,,
P25,"37:16,520","37:49,580",Sharing example of “working in public”,"So there is a tech Slack channel where I can be like, hey, I'm having like a weird situation here. I'm going to like, in Slack, I can just start a call that's, or a huddle they call it now, that's public in the channel. And just be like, I'm in here. If someone's got a minute, like come join me. And then usually someone who is available will come and say hi in, you know, maybe 5, 10, 15 minutes, that kind of thing. So I really like those kind of collaborative spaces remotely. And then we'll do a video call. Usually I'll screen share, start doing the talking thing, and work out the problem.",,,,,,,,,,
P25,"30:33,100","30:44,740","Sharing importance of principle that the computer does exactly what it’s told, and relates back to confidence","Like it comes back to that principle I mentioned earlier where the computer is dumb. There's no like magic. It does exactly what it's told. And if you are persistent and thorough, you will find out why .",,,,,,,,,,
P25,"09:22,160","09:48,440","Sharing insight about why the bear is so effective, it’s not a set of questions, it’s preparing to explain it to someone else as if they have no idea what I’m talking about.","- Yeah, I mean, I think what it is is, it's not so much that I'm asking questions, is that I'm preparing to explain it to someone else as if they have no idea what I'm talking about. And it's that act of organizing your thoughts so that you can explain them to someone else so that they make sense to an external person. I think that's the part because, I mean, in a lot of ways, it does the same thing as challenging your assumptions is now you're having to lay them out.",,,,,,,,,,
P25,"45:30,180","45:42,840","Wanting this automatic systems highlighting and notifying you, instead of coming through the logs, which by contrast is described as primitive","I wouldn't have to go to the logs and see a log statement. Like that's really primitive. Like if you're coming through logs, you're doing it wrong. You want to have your automatic systems highlighting and notifying you.",,,,,,,,,,
P27,"10:27,800","10:59,520","Feeling engaged when troubleshooting, engaged in the step-by-step process, and having actual steps to try","- Engaged. I was engaged in the step-by-step process. So for me, the actual having steps to try and then checking if it worked and then going back and then checking the next step or trying this and then trying another step and then seeing if that worked. So I guess that was my curiosity. Oh, I wonder if this will work.",,,,,,,,,,
P27,"30:23,400","30:37,740","Feeling pretty safe doing refactoring as long as there’s lots of test coverage and I’m writing tests as I go, will get a lot more confident in a short time","It's probably pretty safe to do it as long as, there's a lot of test coverage already. So as long as I'm writing tests as I go, I think we're pretty good that way. So I think I will get a lot more confident in short time.",,,,,,,,,,
P27,"37:06,320","37:33,640",Highlighting importance of clear documentation from people that know how to write proper English that is succinct and there’s no double entendres.,"there's been so many, so much documentation I've read that was not clear. And so then it's easy to misinterpret it and then do it the wrong way because the wording isn't clear. So document clear documentation on two points is really good. People that know how to write English properly so that it is succinct and there's no double entendres.",,,,,,,,,,
P27,"14:15,640","14:50,240","Learning something new, a new framework or tool, there’s so much documentation could spend a few months learning before you start, except you have to dive right in","You know, sometimes learning something new or only partially learning a new software framework or development tool, there's so much documentation that really you could spend like a few months actually learning it before you start it. But usually you have to just dive right in and so you don't have all the information and you start doing things that are, you find out much later the wrong way to do it. and you have to go back and fix it because you didn't actually know how to use the tool.",,,,,,,,,,
P27,"18:30,240","19:04,440","People really stressed about metrics and being measured by performance because the company was cutting the bottom 10%, an awful place to work, people didn’t respond to questions","So you could put it on a channel where everybody was supposed to be listening. But everybody was really busy in that place. And they were really stressed about metrics. It was awful. And because they were being measured by performance and they were always like cutting the bottom 10%  or whatever. It was a really awful place to work. Anyways, and so people often didn't respond to questions. So usually you end up kind of floundering around on your own until you come up with another idea.",,,,,,,,,,
P27,"38:58,140","40:32,040","Sharing about article by Kent Beck about how sales and marketing teams of clear metrics and targets, but in software, trying to measure and it’s not clear, puts pressure on people that doesn’t result in a better product","other. I was just reading this great article from Kent Beck today about how software engineering companies are like, they've got their sales teams and they've got their marketing teams and they've got all these teams that have very clear metrics, like they met their target or they didn't meet their target. Like recruiting is another one that the recruiters hire their target number of people for then they've met their target. And if they've fallen short or exceeded it, very clear performance metrics. But for software developers, they're trying to measure it and it's not very clear. So people are doing things and I've happened, I had encountered the last two companies that I worked at. They were very keen on these metrics. And what I found was, and ____ was the same way. They had these, for ___ it was performance reviews, but it put this kind of pressure on people to get high ratings. And it didn't necessarily result in a better software product. And that was the point of Kent Beck's article was that these metrics systems put pressure on teams in ways that makes the, doesn't improve the software development process and doesn't improve the product. But it's really hard for CEOs and COOs to understand that. They can't, it's not like a sales team where you just go out and sell, sell, sell. And you're such a good performer if you can sell more.",,,,,,,,,,
P27,"17:10,840","18:09,440",Trying to not ask for help as much and digging in right way and only reach out for help when I need to,"And so I'll like talk to somebody about a problem right away instead of some... And I'm trying to get to not do this as much to like just dig in right away for myself and then only ask, reach out for help when I need to. So, yeah, for me, what's the point when I need to do that is when I've gone as far as I can, I guess. Yeah, when I've gone as far as I can and I'm running out of ideas, I've run out of ideas. And then I just kind of throw it out there and see if anybody else has got any ideas or the person I try to find the person who knows that area of code I'm working in, for example.",,,,,,,,,,
P27,"40:32,040","41:32,600","When people are measured by how many comments you put on a PR, how much code your write, how many hours you work, effect is not seeing support of your team, people less likely to help, people unhappy, loss of congeniality on the team that allowed people to talk to each other, really unhealthy and not conducive to collaboration","It's more, because collaboration piece, in that kind of a world, you don't, if you're being measured by how many comments you put on a PR or how many lines of code you write or how many kinds of code you remove or how many hours in a day you work. If those kinds of metrics are your performance, then they're not seeing you support your team, right? So in those kinds of environments, I noticed that people were less likely to help. and people were unhappy. And so there was not the congeniality on the team that allowed people to feel comfortable to talk to each other and be honest and just speak their minds. Yeah, it was a really unhealthy environment. So that is not conducive to collaboration. Yeah, that's what I found.",,,,,,,,,,
P27,"29:15,680","30:20,040","Working in somebody else’s codebase and not confident that I’ve understand all the nuances of why it was written that way, and afraid to make changes willy-nilly because afraid I’m going to break something else","Partly because when I'm working in somebody else's code base, I'm not confident that I've Understood everything. I haven't got all the nuances of why it was written the way it was written. So, I'm afraid to make changes willy-nilly because I'm afraid I'm going to break something else that's already working because I didn't understand it properly. Whereas if it's my code, I'll just dive in there and I'll just throw things out and write over it and rip it up. So, it's a lot faster for me, even if it's something I haven't touched, even if it was something that was badly written, I can sort of remember the gross logic of it and I'll just say, Oh, this is stupid,"" and I'll rewrite it completely. But I don't want to do that to somebody else's code because there may be some good reason, especially with somebody that still works at the company. But even if it's somebody who doesn't work at the company now, I can't ask them what their logic was. And yeah, there's a lot of refactoring going on in our code right now.""",,,,,,,,,,
P27,"19:59,080","20:14,600",Working on a small team where everyone is empowered to work on what seems like the right thing to work on.,"We're such a small team, and we're all pretty empowered in this organization to work on what seems like the right thing to work on for us.",,,,,,,,,,
